date,customer_name,customer_email,product_name,product_category,quantity,unit_price,total,sales_rep_name,region
2024-01-23,Redwood Manufacturing,orders@redwoodmfg.com,Water Filter Pitcher,Break Room,15,29.99,449.85,Maria Santos,East
2024-01-24,Evergreen Hotels,purchasing@evergreenhotels.com,Hand Sanitizer (pump bottle),Cleaning Supplies,9,8.99,80.91,Maria Santos,East
2024-01-24,Northwind Traders,orders@northwind.com,Wireless Keyboard and Mouse Combo,Electronics,12,59.99,719.88,Lisa Nakamura,South
2024-01-25,Summit Healthcare,procurement@summithealth.org,Paper Towels (12 rolls),Cleaning Supplies,3,22.99,68.97,Thomas Anderson,South
2024-01-26,TechStart Inc,orders@techstart.io,Snack Variety Box (40 count),Break Room,2,39.99,79.98,Michael Brown,Central
2024-01-26,Frontier Analytics,ops@frontieranalytics.com,Sticky Notes Assorted (12 pack),Office Supplies,6,14.99,89.94,Thomas Anderson,South
2024-01-27,Prairie Wind Energy,supplies@prairiewind.com,Disinfecting Wipes (4 pack),Cleaning Supplies,9,28.99,260.91,Maria Santos,East
2024-01-28,Cascade Solutions,procurement@cascadesol.com,Hand Sanitizer (pump bottle),Cleaning Supplies,14,8.99,125.86,Thomas Anderson,South
2024-01-28,Phoenix Legal Group,admin@phoenixlegal.com,Wireless Keyboard and Mouse Combo,Electronics,14,59.99,839.86,Sarah Mitchell,West
2024-01-29,Oakwood Properties,maintenance@oakwoodprop.com,Conference Table 8-Person,Furniture,11,899.99,9899.89,Robert Chen,East
2024-01-29,Atlas Engineering,supplies@atlaseng.com,Standard Copy Paper (5000 sheets),Office Supplies,11,42.99,472.89,Sarah Mitchell,West
2024-02-01,Maple Creek Bakery,orders@maplecreek.com,Snack Variety Box (40 count),Break Room,4,39.99,159.96,Sarah Mitchell,West
2024-02-02,Maple Creek Bakery,orders@maplecreek.com,Manila Folders (100 pack),Office Supplies,8,24.99,199.92,Robert Chen,East
2024-02-02,Pinnacle Consulting,office@pinnacleconsult.com,USB-C Docking Station,Electronics,7,149.99,1049.93,Maria Santos,East
2024-02-02,Diamond Auto Group,parts@diamondauto.com,Break Room Coffee (5 lb),Break Room,5,34.99,174.95,Maria Santos,East
2024-02-03,Cascade Solutions,procurement@cascadesol.com,Disinfecting Wipes (4 pack),Cleaning Supplies,11,28.99,318.89,Sarah Mitchell,West
2024-02-04,Acme Corp,purchasing@acmecorp.com,Printer Toner Cartridge,Office Supplies,8,89.99,719.92,Sarah Mitchell,West
2024-02-04,Green Valley Foods,supply@greenvalley.com,Ergonomic Office Chair,Furniture,20,349.99,6999.8,David Park,West
2024-02-05,Silverline Media,production@silverlinemedia.com,Hand Sanitizer (pump bottle),Cleaning Supplies,12,8.99,107.88,Lisa Nakamura,South
2024-02-06,Pinnacle Consulting,office@pinnacleconsult.com,Filing Cabinet 4-Drawer,Furniture,15,229.99,3449.85,Jennifer Walsh,Central
2024-02-07,Pacific Design Studio,hello@pacificdesign.co,Printer Toner Cartridge,Office Supplies,16,89.99,1439.84,Lisa Nakamura,South
2024-02-08,Redwood Manufacturing,orders@redwoodmfg.com,Conference Table 8-Person,Furniture,8,899.99,7199.92,Thomas Anderson,South
2024-02-08,Frontier Analytics,ops@frontieranalytics.com,Hand Sanitizer (pump bottle),Cleaning Supplies,4,8.99,35.96,Sarah Mitchell,West
2024-02-08,Cascade Solutions,procurement@cascadesol.com,USB-C Docking Station,Electronics,7,149.99,1049.93,Lisa Nakamura,South
2024-02-08,Starlight Events,planning@starlightevents.com,Webcam HD 1080p,Electronics,2,79.99,159.98,Jennifer Walsh,Central
2024-02-09,Metro Dental Clinic,office@metrodental.com,Bookshelf 5-Tier,Furniture,15,159.99,2399.85,Jennifer Walsh,Central
2024-02-10,Pinnacle Consulting,office@pinnacleconsult.com,Ballpoint Pens (box of 50),Office Supplies,19,18.5,351.5,Robert Chen,East
2024-02-10,Prairie Wind Energy,supplies@prairiewind.com,Ergonomic Office Chair,Furniture,6,349.99,2099.94,Maria Santos,East
2024-02-11,Pinnacle Consulting,office@pinnacleconsult.com,Trash Bags (100 count),Cleaning Supplies,20,19.99,399.8,Sarah Mitchell,West
2024-02-11,Zenith Software,it@zenithsw.com,Hand Sanitizer (pump bottle),Cleaning Supplies,15,8.99,134.85,Thomas Anderson,South
2024-02-11,Northwind Traders,orders@northwind.com,Disposable Cups (200 count),Break Room,11,15.99,175.89,Maria Santos,East
2024-02-12,Evergreen Hotels,purchasing@evergreenhotels.com,Paper Towels (12 rolls),Cleaning Supplies,10,22.99,229.9,David Park,West
2024-02-14,Pinnacle Consulting,office@pinnacleconsult.com,Sticky Notes Assorted (12 pack),Office Supplies,18,14.99,269.82,David Park,West
2024-02-16,Harbor View Restaurant,manager@harborview.com,Standing Desk Converter,Furniture,15,279.99,4199.85,David Park,West
2024-02-16,Summit Healthcare,procurement@summithealth.org,Disposable Cups (200 count),Break Room,3,15.99,47.97,Thomas Anderson,South
2024-02-16,Oakwood Properties,maintenance@oakwoodprop.com,Printer Toner Cartridge,Office Supplies,1,89.99,89.99,Maria Santos,East
2024-02-17,Blue Ridge Farms,office@blueridgefarms.com,Webcam HD 1080p,Electronics,1,79.99,79.99,Sarah Mitchell,West
2024-02-17,Metro Dental Clinic,office@metrodental.com,27-inch LED Monitor,Electronics,17,319.99,5439.83,Maria Santos,East
2024-02-18,Bay Area Robotics,lab@bayarearobotics.com,Noise-Canceling Headphones,Electronics,14,199.99,2799.86,Lisa Nakamura,South
2024-02-19,Prairie Wind Energy,supplies@prairiewind.com,Webcam HD 1080p,Electronics,4,79.99,319.96,Robert Chen,East
2024-02-19,Bay Area Robotics,lab@bayarearobotics.com,Printer Toner Cartridge,Office Supplies,14,89.99,1259.86,David Park,West
2024-02-19,Harbor View Restaurant,manager@harborview.com,Noise-Canceling Headphones,Electronics,5,199.99,999.95,Robert Chen,East
2024-02-20,Atlas Engineering,supplies@atlaseng.com,Trash Bags (100 count),Cleaning Supplies,20,19.99,399.8,Sarah Mitchell,West
2024-02-21,Summit Healthcare,procurement@summithealth.org,Sticky Notes Assorted (12 pack),Office Supplies,10,14.99,149.9,David Park,West
2024-02-22,Zenith Software,it@zenithsw.com,Sticky Notes Assorted (12 pack),Office Supplies,15,14.99,224.85,Sarah Mitchell,West
2024-02-22,Metro Dental Clinic,office@metrodental.com,All-Purpose Cleaner (gallon),Cleaning Supplies,18,12.99,233.82,Michael Brown,Central
2024-02-22,Starlight Events,planning@starlightevents.com,Ergonomic Office Chair,Furniture,11,349.99,3849.89,Jennifer Walsh,Central
2024-02-24,Zenith Software,it@zenithsw.com,Tea Assortment (100 bags),Break Room,17,18.99,322.83,Maria Santos,East
2024-02-24,Oakwood Properties,maintenance@oakwoodprop.com,Bookshelf 5-Tier,Furniture,1,159.99,159.99,Maria Santos,East
2024-02-26,Summit Healthcare,procurement@summithealth.org,Hand Sanitizer (pump bottle),Cleaning Supplies,6,8.99,53.94,Jennifer Walsh,Central
2024-02-26,Metro Dental Clinic,office@metrodental.com,Disinfecting Wipes (4 pack),Cleaning Supplies,3,28.99,86.97,Thomas Anderson,South
2024-02-28,Golden Gate Fitness,supplies@ggfitness.com,Webcam HD 1080p,Electronics,8,79.99,639.92,David Park,West
2024-02-28,Blue Ridge Farms,office@blueridgefarms.com,USB-C Docking Station,Electronics,10,149.99,1499.9,Lisa Nakamura,South
2024-02-29,Zenith Software,it@zenithsw.com,USB-C Docking Station,Electronics,1,149.99,149.99,Michael Brown,Central
2024-02-29,Bay Area Robotics,lab@bayarearobotics.com,Noise-Canceling Headphones,Electronics,14,199.99,2799.86,Jennifer Walsh,Central
2024-03-01,Diamond Auto Group,parts@diamondauto.com,Paper Towels (12 rolls),Cleaning Supplies,18,22.99,413.82,Lisa Nakamura,South
2024-03-02,Pacific Design Studio,hello@pacificdesign.co,Snack Variety Box (40 count),Break Room,11,39.99,439.89,Robert Chen,East
2024-03-03,Starlight Events,planning@starlightevents.com,Filing Cabinet 4-Drawer,Furniture,7,229.99,1609.93,Thomas Anderson,South
2024-03-03,Pacific Design Studio,hello@pacificdesign.co,27-inch LED Monitor,Electronics,15,319.99,4799.85,Robert Chen,East
2024-03-03,Silverline Media,production@silverlinemedia.com,Hand Sanitizer (pump bottle),Cleaning Supplies,10,8.99,89.9,Jennifer Walsh,Central
2024-03-04,Prairie Wind Energy,supplies@prairiewind.com,Ballpoint Pens (box of 50),Office Supplies,18,18.5,333.0,Thomas Anderson,South
2024-03-04,Northwind Traders,orders@northwind.com,Trash Bags (100 count),Cleaning Supplies,15,19.99,299.85,Jennifer Walsh,Central
2024-03-05,Bay Area Robotics,lab@bayarearobotics.com,Standard Copy Paper (5000 sheets),Office Supplies,8,42.99,343.92,Maria Santos,East
2024-03-05,Valley View Winery,office@valleyviewwine.com,Disinfecting Wipes (4 pack),Cleaning Supplies,2,28.99,57.98,Thomas Anderson,South
2024-03-06,Bay Area Robotics,lab@bayarearobotics.com,Wireless Keyboard and Mouse Combo,Electronics,14,59.99,839.86,Maria Santos,East
2024-03-07,Blue Ridge Farms,office@blueridgefarms.com,Wireless Keyboard and Mouse Combo,Electronics,18,59.99,1079.82,Thomas Anderson,South
2024-03-09,Zenith Software,it@zenithsw.com,Standard Copy Paper (5000 sheets),Office Supplies,4,42.99,171.96,Jennifer Walsh,Central
2024-03-10,Pacific Design Studio,hello@pacificdesign.co,Manila Folders (100 pack),Office Supplies,18,24.99,449.82,Robert Chen,East
2024-03-11,Crystal Clear Optics,orders@crystalclear.com,Manila Folders (100 pack),Office Supplies,5,24.99,124.95,Michael Brown,Central
2024-03-11,Silverline Media,production@silverlinemedia.com,Noise-Canceling Headphones,Electronics,19,199.99,3799.81,David Park,West
2024-03-13,Pinnacle Consulting,office@pinnacleconsult.com,Break Room Coffee (5 lb),Break Room,9,34.99,314.91,Maria Santos,East
2024-03-14,Pacific Design Studio,hello@pacificdesign.co,Paper Towels (12 rolls),Cleaning Supplies,1,22.99,22.99,Thomas Anderson,South
2024-03-14,Prairie Wind Energy,supplies@prairiewind.com,Snack Variety Box (40 count),Break Room,1,39.99,39.99,Maria Santos,East
2024-03-15,Diamond Auto Group,parts@diamondauto.com,Bookshelf 5-Tier,Furniture,18,159.99,2879.82,Thomas Anderson,South
2024-03-15,Atlas Engineering,supplies@atlaseng.com,Wireless Keyboard and Mouse Combo,Electronics,14,59.99,839.86,Michael Brown,Central
2024-03-15,Horizon Media Group,buying@horizonmg.com,Sticky Notes Assorted (12 pack),Office Supplies,9,14.99,134.91,Sarah Mitchell,West
2024-03-15,Bay Area Robotics,lab@bayarearobotics.com,Sticky Notes Assorted (12 pack),Office Supplies,4,14.99,59.96,Robert Chen,East
2024-03-16,Cascade Solutions,procurement@cascadesol.com,Filing Cabinet 4-Drawer,Furniture,7,229.99,1609.93,Robert Chen,East
2024-03-17,Blue Ridge Farms,office@blueridgefarms.com,Break Room Coffee (5 lb),Break Room,5,34.99,174.95,Sarah Mitchell,West
2024-03-18,Brightpath Education,admin@brightpath.edu,Hand Sanitizer (pump bottle),Cleaning Supplies,5,8.99,44.95,David Park,West
2024-03-18,Metro Dental Clinic,office@metrodental.com,Disinfecting Wipes (4 pack),Cleaning Supplies,11,28.99,318.89,Michael Brown,Central
2024-03-19,Harbor View Restaurant,manager@harborview.com,Standing Desk Converter,Furniture,20,279.99,5599.8,Maria Santos,East
2024-03-19,Crystal Clear Optics,orders@crystalclear.com,Ballpoint Pens (box of 50),Office Supplies,17,18.5,314.5,David Park,West
2024-03-20,Harbor View Restaurant,manager@harborview.com,Manila Folders (100 pack),Office Supplies,18,24.99,449.82,David Park,West
2024-03-20,Horizon Media Group,buying@horizonmg.com,Hand Sanitizer (pump bottle),Cleaning Supplies,20,8.99,179.8,Lisa Nakamura,South
2024-03-20,Northwind Traders,orders@northwind.com,27-inch LED Monitor,Electronics,2,319.99,639.98,David Park,West
2024-03-21,Green Valley Foods,supply@greenvalley.com,Hand Sanitizer (pump bottle),Cleaning Supplies,10,8.99,89.9,Jennifer Walsh,Central
2024-03-21,Horizon Media Group,buying@horizonmg.com,Sticky Notes Assorted (12 pack),Office Supplies,18,14.99,269.82,Sarah Mitchell,West
2024-03-22,Valley View Winery,office@valleyviewwine.com,Snack Variety Box (40 count),Break Room,9,39.99,359.91,Robert Chen,East
2024-03-24,Summit Healthcare,procurement@summithealth.org,Disinfecting Wipes (4 pack),Cleaning Supplies,5,28.99,144.95,Lisa Nakamura,South
2024-03-26,Golden Gate Fitness,supplies@ggfitness.com,Standard Copy Paper (5000 sheets),Office Supplies,8,42.99,343.92,David Park,West
2024-03-26,Maple Creek Bakery,orders@maplecreek.com,Water Filter Pitcher,Break Room,12,29.99,359.88,Jennifer Walsh,Central
2024-03-27,Northwind Traders,orders@northwind.com,27-inch LED Monitor,Electronics,11,319.99,3519.89,Robert Chen,East
2024-03-30,Prairie Wind Energy,supplies@prairiewind.com,Bookshelf 5-Tier,Furniture,1,159.99,159.99,Michael Brown,Central
2024-03-30,Pacific Design Studio,hello@pacificdesign.co,Standard Copy Paper (5000 sheets),Office Supplies,14,42.99,601.86,Thomas Anderson,South
2024-03-31,Metro Dental Clinic,office@metrodental.com,Noise-Canceling Headphones,Electronics,14,199.99,2799.86,Maria Santos,East
2024-04-02,Bay Area Robotics,lab@bayarearobotics.com,Water Filter Pitcher,Break Room,1,29.99,29.99,Jennifer Walsh,Central
2024-04-05,Harbor View Restaurant,manager@harborview.com,Bookshelf 5-Tier,Furniture,1,159.99,159.99,David Park,West
2024-04-07,Evergreen Hotels,purchasing@evergreenhotels.com,Snack Variety Box (40 count),Break Room,5,39.99,199.95,Thomas Anderson,South
2024-04-07,Evergreen Hotels,purchasing@evergreenhotels.com,Conference Table 8-Person,Furniture,17,899.99,15299.83,Sarah Mitchell,West
2024-04-08,Bay Area Robotics,lab@bayarearobotics.com,Break Room Coffee (5 lb),Break Room,19,34.99,664.81,Michael Brown,Central
2024-04-11,Coastal Logistics,buying@coastallogistics.com,Bookshelf 5-Tier,Furniture,18,159.99,2879.82,Sarah Mitchell,West
2024-04-11,Silverline Media,production@silverlinemedia.com,27-inch LED Monitor,Electronics,5,319.99,1599.95,Michael Brown,Central
2024-04-12,TechStart Inc,orders@techstart.io,Tea Assortment (100 bags),Break Room,8,18.99,151.92,Sarah Mitchell,West
2024-04-12,Brightpath Education,admin@brightpath.edu,Snack Variety Box (40 count),Break Room,6,39.99,239.94,Lisa Nakamura,South
2024-04-12,Horizon Media Group,buying@horizonmg.com,USB-C Docking Station,Electronics,6,149.99,899.94,Lisa Nakamura,South
2024-04-13,Harbor View Restaurant,manager@harborview.com,Snack Variety Box (40 count),Break Room,7,39.99,279.93,Thomas Anderson,South
2024-04-14,Frontier Analytics,ops@frontieranalytics.com,Disposable Cups (200 count),Break Room,9,15.99,143.91,Michael Brown,Central
2024-04-14,Harbor View Restaurant,manager@harborview.com,Filing Cabinet 4-Drawer,Furniture,11,229.99,2529.89,Robert Chen,East
2024-04-18,Diamond Auto Group,parts@diamondauto.com,27-inch LED Monitor,Electronics,16,319.99,5119.84,Maria Santos,East
2024-04-18,TechStart Inc,orders@techstart.io,Standard Copy Paper (5000 sheets),Office Supplies,10,42.99,429.9,Robert Chen,East
2024-04-19,Acme Corp,purchasing@acmecorp.com,Wireless Keyboard and Mouse Combo,Electronics,6,59.99,359.94,Jennifer Walsh,Central
2024-04-19,Harbor View Restaurant,manager@harborview.com,Tea Assortment (100 bags),Break Room,15,18.99,284.85,Jennifer Walsh,Central
2024-04-20,Frontier Analytics,ops@frontieranalytics.com,27-inch LED Monitor,Electronics,5,319.99,1599.95,Jennifer Walsh,Central
2024-04-20,Northwind Traders,orders@northwind.com,Hand Sanitizer (pump bottle),Cleaning Supplies,7,8.99,62.93,Maria Santos,East
2024-04-20,Frontier Analytics,ops@frontieranalytics.com,Manila Folders (100 pack),Office Supplies,18,24.99,449.82,David Park,West
2024-04-20,Green Valley Foods,supply@greenvalley.com,USB-C Docking Station,Electronics,8,149.99,1199.92,Thomas Anderson,South
2024-04-21,Diamond Auto Group,parts@diamondauto.com,Disposable Cups (200 count),Break Room,19,15.99,303.81,David Park,West
2024-04-22,Phoenix Legal Group,admin@phoenixlegal.com,Trash Bags (100 count),Cleaning Supplies,12,19.99,239.88,Lisa Nakamura,South
2024-04-22,Brightpath Education,admin@brightpath.edu,Standard Copy Paper (5000 sheets),Office Supplies,19,42.99,816.81,Robert Chen,East
2024-04-22,Valley View Winery,office@valleyviewwine.com,Webcam HD 1080p,Electronics,16,79.99,1279.84,Robert Chen,East
2024-04-23,Prairie Wind Energy,supplies@prairiewind.com,Standard Copy Paper (5000 sheets),Office Supplies,10,42.99,429.9,David Park,West
2024-04-24,Zenith Software,it@zenithsw.com,Standing Desk Converter,Furniture,16,279.99,4479.84,Maria Santos,East
2024-04-25,Pacific Design Studio,hello@pacificdesign.co,Tea Assortment (100 bags),Break Room,19,18.99,360.81,Jennifer Walsh,Central
2024-04-25,Brightpath Education,admin@brightpath.edu,Tea Assortment (100 bags),Break Room,7,18.99,132.93,Thomas Anderson,South
2024-04-25,Pinnacle Consulting,office@pinnacleconsult.com,Bookshelf 5-Tier,Furniture,17,159.99,2719.83,Sarah Mitchell,West
2024-04-26,Starlight Events,planning@starlightevents.com,Printer Toner Cartridge,Office Supplies,10,89.99,899.9,Robert Chen,East
2024-04-28,Maple Creek Bakery,orders@maplecreek.com,Conference Table 8-Person,Furniture,9,899.99,8099.91,Jennifer Walsh,Central
2024-04-30,Zenith Software,it@zenithsw.com,Disposable Cups (200 count),Break Room,3,15.99,47.97,Michael Brown,Central
2024-05-01,Zenith Software,it@zenithsw.com,Webcam HD 1080p,Electronics,10,79.99,799.9,David Park,West
2024-05-01,Pinnacle Consulting,office@pinnacleconsult.com,Manila Folders (100 pack),Office Supplies,5,24.99,124.95,Robert Chen,East
2024-05-02,Diamond Auto Group,parts@diamondauto.com,Manila Folders (100 pack),Office Supplies,20,24.99,499.8,Sarah Mitchell,West
2024-05-05,Metro Dental Clinic,office@metrodental.com,Manila Folders (100 pack),Office Supplies,9,24.99,224.91,Sarah Mitchell,West
2024-05-05,Golden Gate Fitness,supplies@ggfitness.com,Filing Cabinet 4-Drawer,Furniture,16,229.99,3679.84,Jennifer Walsh,Central
2024-05-07,Oakwood Properties,maintenance@oakwoodprop.com,Snack Variety Box (40 count),Break Room,4,39.99,159.96,Michael Brown,Central
2024-05-07,Zenith Software,it@zenithsw.com,Noise-Canceling Headphones,Electronics,18,199.99,3599.82,Sarah Mitchell,West
2024-05-07,Prairie Wind Energy,supplies@prairiewind.com,Trash Bags (100 count),Cleaning Supplies,3,19.99,59.97,Jennifer Walsh,Central
2024-05-08,Pinnacle Consulting,office@pinnacleconsult.com,Break Room Coffee (5 lb),Break Room,20,34.99,699.8,Robert Chen,East
2024-05-08,Pinnacle Consulting,office@pinnacleconsult.com,Wireless Keyboard and Mouse Combo,Electronics,3,59.99,179.97,Jennifer Walsh,Central
2024-05-09,Brightpath Education,admin@brightpath.edu,Manila Folders (100 pack),Office Supplies,10,24.99,249.9,Lisa Nakamura,South
2024-05-09,TechStart Inc,orders@techstart.io,Break Room Coffee (5 lb),Break Room,12,34.99,419.88,Lisa Nakamura,South
2024-05-12,Phoenix Legal Group,admin@phoenixlegal.com,Ergonomic Office Chair,Furniture,15,349.99,5249.85,Thomas Anderson,South
2024-05-14,Frontier Analytics,ops@frontieranalytics.com,Ergonomic Office Chair,Furniture,1,349.99,349.99,Thomas Anderson,South
2024-05-15,Pacific Design Studio,hello@pacificdesign.co,Wireless Keyboard and Mouse Combo,Electronics,20,59.99,1199.8,Michael Brown,Central
2024-05-15,Diamond Auto Group,parts@diamondauto.com,USB-C Docking Station,Electronics,5,149.99,749.95,Thomas Anderson,South
2024-05-15,Cascade Solutions,procurement@cascadesol.com,Water Filter Pitcher,Break Room,8,29.99,239.92,Michael Brown,Central
2024-05-15,Phoenix Legal Group,admin@phoenixlegal.com,Conference Table 8-Person,Furniture,19,899.99,17099.81,Maria Santos,East
2024-05-15,Silverline Media,production@silverlinemedia.com,Printer Toner Cartridge,Office Supplies,1,89.99,89.99,Lisa Nakamura,South
2024-05-15,Acme Corp,purchasing@acmecorp.com,Manila Folders (100 pack),Office Supplies,5,24.99,124.95,Lisa Nakamura,South
2024-05-16,Cascade Solutions,procurement@cascadesol.com,Snack Variety Box (40 count),Break Room,18,39.99,719.82,David Park,West
2024-05-16,Metro Dental Clinic,office@metrodental.com,Noise-Canceling Headphones,Electronics,7,199.99,1399.93,Sarah Mitchell,West
2024-05-16,Horizon Media Group,buying@horizonmg.com,Webcam HD 1080p,Electronics,17,79.99,1359.83,Michael Brown,Central
2024-05-16,Evergreen Hotels,purchasing@evergreenhotels.com,All-Purpose Cleaner (gallon),Cleaning Supplies,17,12.99,220.83,Michael Brown,Central
2024-05-17,Pinnacle Consulting,office@pinnacleconsult.com,Ballpoint Pens (box of 50),Office Supplies,13,18.5,240.5,Michael Brown,Central
2024-05-19,Maple Creek Bakery,orders@maplecreek.com,Water Filter Pitcher,Break Room,13,29.99,389.87,Jennifer Walsh,Central
2024-05-19,Redwood Manufacturing,orders@redwoodmfg.com,Tea Assortment (100 bags),Break Room,3,18.99,56.97,Sarah Mitchell,West
2024-05-19,Valley View Winery,office@valleyviewwine.com,Tea Assortment (100 bags),Break Room,11,18.99,208.89,Sarah Mitchell,West
2024-05-20,Starlight Events,planning@starlightevents.com,Sticky Notes Assorted (12 pack),Office Supplies,5,14.99,74.95,David Park,West
2024-05-21,Harbor View Restaurant,manager@harborview.com,Ballpoint Pens (box of 50),Office Supplies,14,18.5,259.0,David Park,West
2024-05-21,Oakwood Properties,maintenance@oakwoodprop.com,Standing Desk Converter,Furniture,3,279.99,839.97,Maria Santos,East
2024-05-22,Green Valley Foods,supply@greenvalley.com,Bookshelf 5-Tier,Furniture,13,159.99,2079.87,David Park,West
2024-05-22,Cascade Solutions,procurement@cascadesol.com,Standing Desk Converter,Furniture,11,279.99,3079.89,Lisa Nakamura,South
2024-05-22,Harbor View Restaurant,manager@harborview.com,27-inch LED Monitor,Electronics,3,319.99,959.97,Robert Chen,East
2024-05-24,Cascade Solutions,procurement@cascadesol.com,Trash Bags (100 count),Cleaning Supplies,15,19.99,299.85,Thomas Anderson,South
2024-05-24,Blue Ridge Farms,office@blueridgefarms.com,Wireless Keyboard and Mouse Combo,Electronics,2,59.99,119.98,Sarah Mitchell,West
2024-05-25,Phoenix Legal Group,admin@phoenixlegal.com,Printer Toner Cartridge,Office Supplies,12,89.99,1079.88,Robert Chen,East
2024-05-25,Prairie Wind Energy,supplies@prairiewind.com,Snack Variety Box (40 count),Break Room,3,39.99,119.97,Maria Santos,East
2024-05-25,Pacific Design Studio,hello@pacificdesign.co,Wireless Keyboard and Mouse Combo,Electronics,4,59.99,239.96,Lisa Nakamura,South
2024-05-26,Atlas Engineering,supplies@atlaseng.com,USB-C Docking Station,Electronics,10,149.99,1499.9,Sarah Mitchell,West
2024-05-27,Harbor View Restaurant,manager@harborview.com,Disposable Cups (200 count),Break Room,15,15.99,239.85,Sarah Mitchell,West
2024-05-27,Silverline Media,production@silverlinemedia.com,Disposable Cups (200 count),Break Room,2,15.99,31.98,Lisa Nakamura,South
2024-05-27,Horizon Media Group,buying@horizonmg.com,Sticky Notes Assorted (12 pack),Office Supplies,2,14.99,29.98,Jennifer Walsh,Central
2024-05-28,Evergreen Hotels,purchasing@evergreenhotels.com,Printer Toner Cartridge,Office Supplies,8,89.99,719.92,Sarah Mitchell,West
2024-05-29,Maple Creek Bakery,orders@maplecreek.com,Manila Folders (100 pack),Office Supplies,16,24.99,399.84,Maria Santos,East
2024-05-30,Crystal Clear Optics,orders@crystalclear.com,USB-C Docking Station,Electronics,18,149.99,2699.82,David Park,West
2024-05-30,Horizon Media Group,buying@horizonmg.com,Break Room Coffee (5 lb),Break Room,4,34.99,139.96,Michael Brown,Central
